Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Content feedback closes"	"24.04.2022 23:42 CEST"	"24.04.2022 23:42 CEST"	"* You can share with us your thoughts and opinions regarding THE CONTENT of this course 	* This feedback contains 6 MCQ and 3 open questions -> estimated time 5-10 min 	* Course creators will consider your feedbacks to improve the quality of this course 	* Give freely your opinion, but moderate yourself to stay constructive 	* All submitted feedback are ANONYMOUS  "	""	""
"ENTREPRISE"	"25.04.2022 00:00 CEST"	"28.04.2022 00:00 CEST"	""	""	""
"Projets"	"28.04.2022 09:30 CEST"	"28.04.2022 17:30 CEST"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"29.04.2022 09:30 CEST"	"29.04.2022 13:00 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/mrk-pgnn-pqb"	""	""
"Project is due"	"01.05.2022 23:42 CEST"	"01.05.2022 23:42 CEST"	""	""	""
"ENTREPRISE"	"02.05.2022 00:00 CEST"	"05.05.2022 00:00 CEST"	""	""	""
"Projets"	"05.05.2022 09:30 CEST"	"05.05.2022 17:30 CEST"	""	""	""
"Stratégies en Design d'Innovation - Nicolas Bry"	"06.05.2022 09:30 CEST"	"06.05.2022 13:00 CEST"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"06.05.2022 14:00 CEST"	"06.05.2022 17:30 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/rzk-tvvs-tgz"	""	""
"ENTREPRISE"	"09.05.2022 00:00 CEST"	"12.05.2022 00:00 CEST"	""	""	""
"Projets / Coaching avec Cécile Coursol"	"12.05.2022 09:30 CEST"	"12.05.2022 17:30 CEST"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"13.05.2022 09:30 CEST"	"13.05.2022 13:00 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/rnw-eikr-sqr"	""	""
"ENTREPRISE"	"16.05.2022 00:00 CEST"	"19.05.2022 00:00 CEST"	""	""	""
"Projets"	"19.05.2022 09:30 CEST"	"19.05.2022 17:30 CEST"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"20.05.2022 09:30 CEST"	"20.05.2022 13:00 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/znt-xvie-fqo"	""	""
"Product Management - Samuel Athlan"	"20.05.2022 14:00 CEST"	"20.05.2022 17:30 CEST"	""	""	""
"ENTREPRISE"	"23.05.2022 00:00 CEST"	"26.05.2022 00:00 CEST"	""	""	""
"JOUR FERIE"	"26.05.2022 00:00 CEST"	"26.05.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"27.05.2022 00:00 CEST"	"27.05.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"30.05.2022 00:00 CEST"	"02.06.2022 00:00 CEST"	""	""	""
"Projets"	"02.06.2022 09:30 CEST"	"02.06.2022 17:30 CEST"	""	""	""
"Projets"	"03.06.2022 09:30 CEST"	"03.06.2022 17:30 CEST"	""	""	""
"JOUR FERIE"	"06.06.2022 00:00 CEST"	"06.06.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"07.06.2022 00:00 CEST"	"09.06.2022 00:00 CEST"	""	""	""
"Projets / Coaching avec Cécile Coursol"	"09.06.2022 09:30 CEST"	"09.06.2022 17:30 CEST"	""	""	""
"Product Management - Samuel Athlan"	"10.06.2022 09:30 CEST"	"10.06.2022 13:00 CEST"	""	""	""
"ENTREPRISE"	"13.06.2022 00:00 CEST"	"16.06.2022 00:00 CEST"	""	""	""
"Projets"	"16.06.2022 09:30 CEST"	"16.06.2022 17:30 CEST"	""	""	""
"Product Management - Samuel Athlan"	"17.06.2022 09:30 CEST"	"17.06.2022 13:00 CEST"	""	""	""
"ENTREPRISE"	"20.06.2022 00:00 CEST"	"23.06.2022 00:00 CEST"	""	""	""
"Projets"	"23.06.2022 09:30 CEST"	"23.06.2022 17:30 CEST"	""	""	""
"Product Management - Samuel Athlan"	"24.06.2022 09:30 CEST"	"24.06.2022 13:00 CEST"	""	""	""
"ENTREPRISE"	"27.06.2022 00:00 CEST"	"30.06.2022 00:00 CEST"	""	""	""
"Projets"	"30.06.2022 09:30 CEST"	"30.06.2022 17:30 CEST"	""	""	""
"ENTREPRISE"	"01.07.2022 00:00 CEST"	"01.07.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"04.07.2022 00:00 CEST"	"07.07.2022 00:00 CEST"	""	""	""
"Projets / Coaching avec Cécile Coursol"	"07.07.2022 09:30 CEST"	"07.07.2022 17:30 CEST"	""	""	""
"ENTREPRISE"	"11.07.2022 00:00 CEST"	"14.07.2022 00:00 CEST"	""	""	""
"JOUR FERIE"	"14.07.2022 00:00 CEST"	"14.07.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"15.07.2022 00:00 CEST"	"15.07.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"18.07.2022 00:00 CEST"	"20.07.2022 00:00 CEST"	""	""	""
"Projets / Keynote Voltron"	"20.07.2022 09:30 CEST"	"20.07.2022 17:30 CEST"	""	""	""
"Projets / Keynote Voltron"	"21.07.2022 09:30 CEST"	"21.07.2022 17:30 CEST"	""	""	""
"Projets / Keynote Voltron"	"22.07.2022 09:30 CEST"	"22.07.2022 17:30 CEST"	""	""	""
"ENTREPRISE"	"25.07.2022 00:00 CEST"	"08.10.2022 00:00 CEST"	""	""	""

